OrderDetailID,OrderID,ProductID,Ποσότητα,Τιμή_Μονάδας,Έκπτωση_%,Επιστροφή,Βαθμολογία
1,ORD000001,PROD00060,2,458.77,8.6,False,3.0
2,ORD000001,PROD00074,7,424.53,18.4,True,2.0
3,ORD000001,PROD00006,10,367.61,22.0,False,2.0
4,ORD000001,PROD00095,10,20.87,2.9,True,
5,ORD000002,PROD00036,9,209.35,8.8,True,2.0
6,ORD000002,PROD00081,8,320.86,12.3,True,1.0
7,ORD000003,PROD00065,6,243.29,12.3,True,
8,ORD000004,PROD00006,8,367.61,11.4,False,4.0
9,ORD000004,PROD00060,1,458.77,0.3,True,2.0
10,ORD000004,PROD00004,6,463.68,20.1,False,1.0
11,ORD000004,PROD00010,2,360.22,16.5,True,4.0
12,ORD000004,PROD00082,3,200.97,14.1,False,2.0
13,ORD000005,PROD00078,2,395.85,5.3,True,4.0
14,ORD000006,PROD00010,1,360.22,20.3,True,2.0
15,ORD000006,PROD00086,4,463.67,21.4,True,1.0
16,ORD000007,PROD00083,5,377.05,13.3,True,
17,ORD000007,PROD00085,7,93.89,23.0,True,2.0
18,ORD000007,PROD00092,4,212.48,2.7,False,
19,ORD000007,PROD00014,1,23.3,10.1,True,1.0
20,ORD000007,PROD00050,4,120.96,28.8,True,2.0
21,ORD000008,PROD00006,9,367.61,3.2,False,2.0
22,ORD000008,PROD00054,10,5.97,6.2,False,1.0
23,ORD000009,PROD00028,6,78.75,9.7,True,3.0
24,ORD000009,PROD00014,1,23.3,11.7,False,
25,ORD000010,PROD00084,1,215.92,2.0,True,5.0
26,ORD000010,PROD00080,8,261.85,29.5,True,5.0
27,ORD000010,PROD00048,3,92.71,7.6,True,4.0
28,ORD000011,PROD00043,6,84.9,29.3,False,
29,ORD000011,PROD00023,1,472.31,18.3,False,2.0
30,ORD000012,PROD00076,10,405.7,22.8,True,4.0
31,ORD000012,PROD00091,4,190.48,18.6,True,
32,ORD000012,PROD00002,8,404.37,8.9,True,1.0
33,ORD000012,PROD00030,4,323.74,27.7,False,3.0
34,ORD000012,PROD00003,3,496.86,8.3,True,4.0
35,ORD000013,PROD00097,6,166.75,10.3,True,2.0
36,ORD000013,PROD00004,4,463.68,18.2,False,2.0
37,ORD000013,PROD00030,8,323.74,18.9,True,1.0
38,ORD000014,PROD00007,3,484.97,28.1,True,
39,ORD000014,PROD00082,10,200.97,16.5,True,
40,ORD000015,PROD00055,8,341.69,9.3,True,
41,ORD000016,PROD00078,5,395.85,8.6,False,2.0
42,ORD000016,PROD00032,5,404.43,25.9,False,
43,ORD000017,PROD00051,8,102.06,13.2,False,4.0
44,ORD000017,PROD00049,1,9.63,22.9,False,3.0
45,ORD000017,PROD00022,10,357.02,16.1,True,
46,ORD000018,PROD00040,9,189.79,18.2,True,4.0
47,ORD000018,PROD00059,4,389.0,4.6,True,
